2.1.49	07010784-35c8-4b00-998f-95f0dfe36934	446	Y	Y	N	N
2.1.49	0732539c-b8aa-4fb2-bf6c-626d2f70438f	13	Y	N	N	N
2.1.50	0cd4ccbc-abe8-41ec-98f0-784c0b143619	292	Y	Y	N	N
2.1.47	19ed9219-7739-42c7-b85a-4de22991f625	361	N	Y	N	N
2.1.47	21a1089c-49ae-45c8-9bcb-1f9168a3b167	186	Y	Y	N	N
2.1.47	241c9474-7745-4d0c-a6ce-ebb3ebb97453	241	N	Y	N	N
2.1.49	345ce4b4-2f8d-443c-aa71-9e540259f23f	40	N	N	N	N
2.1.50	4822e378-0b73-4db7-af56-69536990f3a9	1286	Y	N	N	N
2.1.50	4caaa728-f9e5-4cf2-94b5-f22d0f1a0f6a	123	Y	N	N	N
2.1.49	56310ba8-0b44-4d4e-adc4-30cc9b633ab6	540	Y	N	N	N
2.1.47	6918047e-1de8-41e4-ab59-3c4dbf39de4c	155	Y	Y	N	N
2.1.49	8326516b-ba03-48ae-bfe7-3a9c66ed9306	726	Y	Y	N	N
2.1.49	8b88e222-6ba3-4dd7-8791-427055a5ad5e	376	Y	N	N	N
2.1.50	8b97653f-a096-47ea-830d-20f4f8e1512e	3534	Y	Y	N	N
2.1.47	992bb06d-b5f1-46d7-917c-e56bb06eebb2	626	Y	Y	N	N
2.1.49	9a16dbe9-ecb8-436a-8a5d-2724dde98102	485	Y	Y	N	N
2.1.50	a185b0fe-0c0d-4ebc-b2eb-1bc14e499a45	502	Y	Y	N	N
2.1.47	a26f9053-88c3-4e4b-b627-6b27514c47eb	242	N	Y	N	N
2.1.50	a4187959-ddce-4007-83c3-0c5995bd76b2	11	N/A	N	N	N
2.1.49	ac6bdf99-c09e-4ef6-bdcc-ee747a040c03	133	Y	Y	N	N
2.1.47	ad165613-aa2a-44c0-940d-722989b0ec70	165	Y	N	N	N
2.1.49	b47d99d1-6d97-4dcc-bb69-8704e542e256	109	Y	N	N	N
2.1.50	c077afa9-5b47-4d5c-89e3-2fe51fd39996	11	N/A	N	N	N
2.1.49	c217ae6f-46a7-44ed-b72e-7df57b46f2d7	1122	Y	Y	N	N
2.1.47	f0b67f7f-8b3d-4f91-a0e7-76033d18e88b	170	N/A	Y	N	N
2.1.50	f4ec8100-b101-4bf8-81ed-8a4fd15ed490	326	Y	Y	N	N
2.1.50	fa176ddb-085e-4111-8190-c2d6b62871a2	38	N/A	N	N	N
2.1.9	0ddadca7-c20f-4614-95b5-a73bb9e5c78f	585	Y	N	N	N
2.1.39	17a16d75-b27a-4757-a963-7ae1e1cad7fe	204	Y	N	N	N
2.1.38	1e5c5f3a-d817-4ef3-bb6c-5bbc690c053f	14	Y	N	N	N
2.1.31	32e92ae8-99bc-40de-bd0e-d16d8ba51cb2	737	Y	N	N	N
2.1.39	38113a78-d237-4ea2-a228-21ec15a7963b	1427	Y	N	N	N
UNKNOWN	3c2d322d-6adc-46b3-99c0-eff0fd0755c2	11	N/A	N	N	N
2.1.29	3d2fdf18-e83b-4b57-978f-82fcb6f73d24	165	Y	N	N	N
2.1.39	444e267b-6c01-4157-8670-f4a137d1d8af	13	N	N	N	N
2.1.39	52af981b-18f8-4447-b865-ac7947290c54	111	Y	N	N	N
2.1.39	5780cd2a-002b-4814-850b-df89268c9210	13	N	N	N	N
2.1.31	5a7023fb-809d-4576-8fd3-f40666b15bf3	443	Y	Y	N	N
2.1.31	5bec7174-6f81-4f2d-8cdd-8eb2c121cbc7	2653	Y	Y	N	N
2.1.39	7747390e-5190-43db-b51b-af11abb5e1a6	817	Y	N	N	N
2.1.38	77b74c00-bec3-4b14-8fca-de7ed9d91f9b	295	Y	N	N	N
2.1.38	79cab32f-b37e-408f-8f5b-d5149ef2b417	100	Y	N	N	N
2.1.27	8f7dfe57-3f3f-42cd-a825-72edfd201f87	5442	Y	N	N	N
2.1.29	977ee8a3-63f0-4803-8af4-c19d6130f108	275	Y	N	N	N
2.1.38	ad56ddcb-4821-4dc6-add9-41f047682d52	1006	Y	N	N	N
UNKNOWN	b62c6f77-1ee3-45fe-9dc0-1d5c9826b4fc	11	N/A	N	N	N
2.1.31	bce14581-535c-4f58-b234-464e89b3ba5e	738	Y	Y	N	N
2.1.39	cf844a67-9080-4f47-854d-4cdb4871e3c1	176	Y	N	N	N
2.1.27	e47bafd3-8b44-4dbf-a66c-10b4fe5eb8c3	4177	Y	N	N	N
2.1.39	ec8c4ad5-5ceb-4d29-b74e-a9e7e76f92fc	46	Y	N	N	N
